,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
432,Maruti,Alto,800 LXI BSIV,2019,"13,000 kms",Petrol,First Owner,delhi,3.5 Lakh*
433,Maruti,Swift,VDI BSIV,2016,"74,000 kms",Diesel,First Owner,delhi,5.35 Lakh*
434,Volkswagen,Polo,Petrol Comfortline 1.2L,2012,"68,000 kms",Petrol,First Owner,delhi,2.8 Lakh*
435,Hyundai,Santro,Xing GLS,2009,"70,000 kms",Petrol,Second Owner,delhi,1.45 Lakh*
436,BMW,7,Series 750Li,2014,"35,000 kms",Petrol,Second Owner,delhi,38 Lakh*
437,Maruti,Baleno,Zeta 1.2,2019,"29,123 kms",Petrol,First Owner,delhi,6.85 Lakh*
438,Honda,Amaze,S Diesel,2016,"66,000 kms",Diesel,Second Owner,delhi,4.25 Lakh*
439,Maruti,Celerio,VXI,2015,"44,000 kms",Petrol,First Owner,delhi,3.7 Lakh*
440,Mahindra,TUV,300 T8,2016,"40,000 kms",Diesel,First Owner,delhi,6.25 Lakh*
441,Honda,City,i-VTEC CVT VX,2018,"1,20,000 kms",Petrol,First Owner,delhi,8.5 Lakh*
442,Maruti,Swift,VDI BSIV,2015,"65,000 kms",Diesel,First Owner,delhi,4.5 Lakh*
443,Hyundai,Grand,i10 1.2 Kappa Sportz AT,2018,"36,000 kms",Petrol,First Owner,delhi,6.35 Lakh*
444,Hyundai,i20,Sportz,2010,"92,528 Kms",Petrol,1st Owner,delhi,"₹ 2,16,500"
445,BMW,5,Series 520d Sedan,2011,"95,000 kms",Diesel,First Owner,delhi,10.25 Lakh*
446,Toyota,Etios,Liva GD,2014,"72,000 kms",Diesel,First Owner,delhi,3.5 Lakh*
447,Maruti,Celerio,VXI AT,2015,"63,000 kms",Petrol,First Owner,delhi,3.95 Lakh*
448,Maruti,Swift,VDI,2013,"58,000 kms",Diesel,Second Owner,delhi,3.3 Lakh*
449,Toyota,Corolla,Altis G AT,2015,"35,000 kms",Petrol,First Owner,delhi,12 Lakh*
450,Maruti,Ciaz,1.4 Alpha,2018,"26,000 kms",Petrol,First Owner,delhi,8.5 Lakh*
451,Honda,City,V MT,2018,"35,000 kms",Petrol,First Owner,delhi,9.25 Lakh*
452,Maruti,XL6,Alpha AT,2019,"13,000 kms",Petrol,First Owner,delhi,11.5 Lakh*
453,Mercedes-Benz,E-Class,E250 CDI Avantgrade,2015,"45,000 kms",Diesel,Second Owner,delhi,21.5 Lakh*
454,Ford,Endeavour,3.2 Titanium AT 4X4,2018,"25,000 kms",Diesel,First Owner,delhi,33 Lakh*
455,Hyundai,Verna,VTVT 1.6 AT SX Plus,2018,"48,001 kms",Petrol,First Owner,delhi,10.15 Lakh*
456,Mahindra,XUV500,W6 2WD,2014,"88,000 kms",Diesel,First Owner,delhi,6.5 Lakh*
457,Maruti,Wagon,R VXI,2012,"55,000 kms",Petrol,First Owner,delhi,2.45 Lakh*
458,Renault,Fluence,Diesel E4,2012,"1,18,000 kms",Diesel,Second Owner,delhi,3.9 Lakh*
459,Hyundai,Creta,1.6 CRDi SX Plus,2016,"70,000 kms",Diesel,First Owner,delhi,9 Lakh*
460,Hyundai,i20,1.2 Magna,2010,"80,000 kms",Petrol,Second Owner,delhi,2 Lakh*
461,Toyota,Fortuner,2016-2021 TRD AT,2020,"43,000 kms",Diesel,First Owner,delhi,32 Lakh*
462,Maruti,Alto,2010-2014 VXI,2012,"62,877 Kms",Petrol,1st Owner,delhi,"₹ 2,44,615"
463,Maruti,Swift,LXI,2020,"11,700 kms",Petrol,First Owner,delhi,5.5 Lakh*
464,Honda,Amaze,S i-Dtech,2013,"70,000 kms",Diesel,First Owner,delhi,2.95 Lakh*
465,Tata,Tiago,1.2 Revotron XM,2016,"32,000 kms",Petrol,First Owner,delhi,3.5 Lakh*
466,Maruti,Eeco,5 STR With AC Plus HTR CNG,2020,"27,413 kms",CNG,First Owner,delhi,4.86 Lakh*
467,Honda,City,i DTec VX Option,2016,"65,000 kms",Diesel,First Owner,delhi,7.5 Lakh*
468,Honda,Mobilio,S i VTEC,2016,"15,000 kms",Petrol,First Owner,delhi,6.5 Lakh*
469,Maruti,Ertiga,SHVS VDI,2018,"42,000 kms",Diesel,Second Owner,delhi,7.9 Lakh*
470,Maruti,Wagon,R LXI CNG,2018,"19,116 kms",CNG,First Owner,delhi,4 Lakh*
471,Maruti,Alto,800 VXI,2017,"60,000 kms",Petrol,Second Owner,delhi,2.2 Lakh*
