,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
190,BMW,5,Series 520d Luxury Line,2013,"89,000 kms",Diesel,Second Owner,Ahmedabad,17.9 Lakh*
191,Ford,EcoSport,1.5 Diesel Ambiente BSIV,2017,"72,000 kms",Diesel,First Owner,Ahmedabad,6.75 Lakh*
192,Maruti,Eeco,5 Seater AC BSIV,2017,"87,000 kms",Petrol,First Owner,Ahmedabad,4.15 Lakh*
193,Maruti,Alto,K10 LXI,2011,"37,800 kms",Petrol,First Owner,Ahmedabad,2.3 Lakh*
194,Mahindra,Marazzo,M4 8Str,2018,"43,000 kms",Diesel,First Owner,Ahmedabad,9.5 Lakh*
195,Maruti,Swift,Dzire VDI,2017,"20,365 kms",Diesel,First Owner,Ahmedabad,6.49 Lakh*
196,Hyundai,Verna,1.6 SX CRDI (O) AT,2013,"75,001 kms",Diesel,Second Owner,Ahmedabad,4.5 Lakh*
197,Ford,EcoSport,1.5 TDCi Titanium BSIV,2016,"56,000 kms",Diesel,First Owner,Ahmedabad,6.9 Lakh*
198,Volvo,XC40,D4 R-Design,2018,"41,000 kms",Diesel,First Owner,Ahmedabad,33.5 Lakh*
199,Volkswagen,Vento,1.5 TDI Highline AT,2017,"65,000 kms",Diesel,First Owner,Ahmedabad,8.76 Lakh*
200,Maruti,Swift,Dzire VDi,2011,"65,000 kms",Diesel,First Owner,Ahmedabad,2.9 Lakh*
201,Maruti,Ignis,Sigma,2018,"21,914 kms",Petrol,First Owner,Ahmedabad,5 Lakh*
202,Renault,Duster,110PS Diesel RxL,2014,"89,000 kms",Diesel,First Owner,Ahmedabad,5.25 Lakh*
203,Mercedes-Benz,E-Class,E 220 CDI Avantgarde,2013,"70,000 kms",Diesel,First Owner,Ahmedabad,16.5 Lakh*
204,Kia,Seltos,HTK Plus AT D,2019,"34,000 kms",Diesel,First Owner,Ahmedabad,14.5 Lakh*
205,Hyundai,i20,2015-2017 Magna 1.4 CRDi,2015,"60,000 kms",Diesel,First Owner,Ahmedabad,5.53 Lakh*
206,Mahindra,Bolero,2011-2019 DI BSIII,2018,"74,000 kms",Diesel,First Owner,Ahmedabad,5.65 Lakh*
207,Maruti,Swift,Dzire ZDI,2013,"80,000 kms",Diesel,First Owner,Ahmedabad,4 Lakh*
208,Mercedes-Benz,C-Class,220 CDI MT,2014,"85,000 kms",Diesel,Second Owner,Ahmedabad,14 Lakh*
209,Hyundai,i20,1.4 CRDi Sportz,2010,"89,550 kms",Diesel,Second Owner,Ahmedabad,2.25 Lakh*
210,Maruti,800,AC BSIII,2012,"35,000 kms",Petrol,First Owner,Ahmedabad,"95,000*"
211,Maruti,Wagon,R LXI,2015,"35,000 kms",Petrol,First Owner,Ahmedabad,3.4 Lakh*
212,Maruti,SX4,VDI,2011,"65,000 kms",Diesel,Second Owner,Ahmedabad,2.6 Lakh*
213,Renault,Pulse,RxL,2013,"21,764 kms",Diesel,First Owner,Ahmedabad,3.5 Lakh*
214,Maruti,Baleno,Zeta,2020,"10,000 kms",Petrol,First Owner,Ahmedabad,6.31 Lakh*
215,Hyundai,Elantra,SX AT,2014,"70,000 kms",Petrol,Second Owner,Ahmedabad,6.96 Lakh*
216,Hyundai,Xcent,1.1 CRDi S,2016,"90,000 kms",Diesel,First Owner,Ahmedabad,3.9 Lakh*
217,Mahindra,Xylo,E8,2009,"80,000 kms",Diesel,Second Owner,Ahmedabad,1.5 Lakh*
218,Mercedes-Benz,GLA,Class 220 d 4MATIC,2018,"35,001 kms",Diesel,First Owner,Ahmedabad,27.5 Lakh*
219,Tata,Indica,DLS,2005,"90,000 kms",Diesel,Second Owner,Ahmedabad,"55,000*"
220,Ford,Aspire,1.2 Ti-VCT Titanium,2018,"10,000 kms",Petrol,First Owner,Ahmedabad,6 Lakh*
221,Tata,Indica,eLS,2013,"1,55,500 kms",Diesel,First Owner,Ahmedabad,1.1 Lakh*
222,Ford,Fiesta,1.4 Duratec EXI,2006,"1,70,000 kms",Petrol,Second Owner,Ahmedabad,1.5 Lakh*
