,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
925,Volkswagen,Vento,1.5 TDI Highline AT,2015,"65,000 kms",Diesel,Second Owner,chennai,6.75 Lakh*
926,Volkswagen,Vento,1.5 TDI Highline AT,2016,"42,000 kms",Diesel,First Owner,chennai,8.9 Lakh*
927,Hyundai,i10,Sportz AT,2012,"73,000 kms",Petrol,First Owner,chennai,3.45 Lakh*
928,Honda,Amaze,S Diesel,2014,"93,801 kms",Diesel,First Owner,chennai,4.1 Lakh*
929,Maruti,Swift,ZXI,2019,"23,224 kms",Petrol,First Owner,chennai,7 Lakh*
930,Honda,City,2017-2020 GXi,2008,"1,00,002 kms",Petrol,Second Owner,chennai,2.95 Lakh*
931,Maruti,Alto,K10 LXI,2012,"44,423 kms",Petrol,First Owner,chennai,2.25 Lakh*
932,Honda,Jazz,1.2 VX i VTEC,2019,"1,600 kms",Petrol,First Owner,chennai,8.5 Lakh*
933,Tata,Indica,eXeta GLS,2008,"45,050 kms",Petrol,Second Owner,chennai,1.3 Lakh*
934,Hyundai,Santro,GLS II - Euro II,2000,"56,000 kms",Petrol,Third Owner,chennai,"99,000*"
935,Skoda,Fabia,1.4 TDI Classic,2008,"1,07,068 kms",Diesel,Second Owner,chennai,1.8 Lakh*
936,BMW,X4,M Sport X xDrive20d,2019,"20,000 kms",Diesel,Second Owner,chennai,47.5 Lakh*
937,Ford,EcoSport,1.5 Diesel Trend Plus BSIV,2018,"21,000 kms",Diesel,First Owner,chennai,8.55 Lakh*
938,Renault,Duster,85PS Diesel RxL,2016,"65,639 kms",Diesel,Second Owner,chennai,5.9 Lakh*
939,BMW,3,Series GT Luxury Line,2016,"50,000 kms",Diesel,First Owner,chennai,22.5 Lakh*
940,Hyundai,Xcent,1.2 VTVT SX,2018,"15,000 kms",Petrol,First Owner,chennai,6.2 Lakh*
941,Toyota,Innova,Crysta 2016-2020 2.4 GX MT,2017,"45,000 kms",Diesel,First Owner,chennai,15.75 Lakh*
942,Ford,Classic,1.4 Duratorq CLXI,2013,"1,50,000 kms",Diesel,First Owner,chennai,3 Lakh*
943,Tata,Hexa,XT,2018,"70,000 kms",Diesel,First Owner,chennai,16 Lakh*
944,Ford,Figo,Petrol EXI,2013,"36,542 kms",Petrol,First Owner,chennai,3 Lakh*
945,Mini,Cooper,S,2019,"22,000 kms",Petrol,First Owner,chennai,41 Lakh*
946,Hyundai,Verna,CRDi 1.6 SX Option,2019,"35,000 kms",Diesel,First Owner,chennai,12.75 Lakh*
947,Mahindra,XUV500,W10 AWD,2018,"49,000 kms",Diesel,First Owner,chennai,14.75 Lakh*
948,Maruti,Ertiga,SHVS VDI,2017,"41,000 kms",Diesel,First Owner,chennai,8.7 Lakh*
949,Datsun,GO,T BSIV,2014,"20,000 kms",Petrol,First Owner,chennai,3.3 Lakh*
950,Maruti,Swift,ZXI,2015,"36,000 kms",Petrol,First Owner,chennai,5.5 Lakh*
951,Hyundai,i10,Asta,2011,"49,521 kms",Petrol,Second Owner,chennai,2.9 Lakh*
