,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
1259,Chevrolet,Captiva,2.2 AT AWD,2015,"50,000 kms",Diesel,Third Owner,Banglore,8.5 Lakh*
1260,Toyota,Corolla,Altis D-4D G,2016,"61,000 kms",Diesel,First Owner,Banglore,11.75 Lakh*
1261,Hyundai,i20,1.2 Magna,2010,"1,10,000 kms",Petrol,First Owner,Banglore,3.5 Lakh*
1262,Maruti,Swift,Dzire VXi,2008,"75,000 kms",Petrol,First Owner,Banglore,2.55 Lakh*
1263,BMW,6,Series 640d Design Pure Experience,2016,"46,447 kms",Diesel,Third Owner,Banglore,40 Lakh*
1264,Skoda,Superb,1.8 TSI MT,2010,"65,000 kms",Petrol,Second Owner,Banglore,5.9 Lakh*
1265,BMW,3,Series 320d,2007,"80,000 kms",Diesel,Second Owner,Banglore,6.25 Lakh*
1266,Hyundai,i10,Sportz 1.2 AT,2012,"26,548 kms",Petrol,First Owner,Banglore,3.5 Lakh*
1267,Maruti,Baleno,Zeta Automatic,2018,"20,580 kms",Petrol,First Owner,Banglore,7.25 Lakh*
1268,Hyundai,i20,Asta Option BSIV,2017,"35,000 kms",Petrol,First Owner,Banglore,7.75 Lakh*
1269,Maruti,Baleno,Delta 1.3,2016,"51,000 kms",Diesel,First Owner,Banglore,6.2 Lakh*
1270,Hyundai,Santro,Xing GLS,2009,"82,245 kms",Petrol,Second Owner,Banglore,2.35 Lakh*
1271,Toyota,Etios,Liva 1.2 VX,2018,"40,079 kms",Petrol,First Owner,Banglore,6.65 Lakh*
1272,Maruti,Celerio,VXI AT,2016,"22,169 kms",Petrol,First Owner,Banglore,4.65 Lakh*
1273,Volkswagen,Vento,Diesel Trendline,2011,"52,715 kms",Diesel,First Owner,Banglore,4.4 Lakh*
1274,Maruti,Wagon,R LXI DUO BSIII,2008,"86,902 kms",LPG,First Owner,Banglore,2.5 Lakh*
1275,Ford,EcoSport,1.5 TDCi Titanium Plus BSIV,2016,"38,045 kms",Diesel,First Owner,Banglore,8.05 Lakh*
1276,Honda,WR-V,i-VTEC VX,2019,"15,408 kms",Petrol,First Owner,Banglore,9.1 Lakh*
1277,Renault,Triber,RXZ EASY-R AMT,2020,"12,128 kms",Petrol,First Owner,Banglore,7.4 Lakh*
1278,Toyota,Innova,Crysta 2016-2020 2.4 GX MT BSIV,2017,"1,01,564 kms",Diesel,First Owner,Banglore,12.25 Lakh*
1279,Honda,WR-V,i-DTEC VX,2019,"17,064 kms",Diesel,First Owner,Banglore,10.65 Lakh*
1280,Hyundai,Creta,1.6 SX Diesel,2018,"22,423 kms",Diesel,First Owner,Banglore,13.7 Lakh*
1281,Jeep,Compass,2.0 Sport,2017,"38,698 kms",Diesel,Second Owner,Banglore,15 Lakh*
1282,Honda,City,i VTEC CVT VX,2017,"37,098 kms",Petrol,First Owner,Banglore,9.95 Lakh*
1283,Kia,Seltos,HTK Plus G,2019,"4,236 Kms",Petrol,1st Owner,Banglore,"₹ 11,92,000"
1284,BMW,Z4,35i DPT,2013,"18,570 kms",Petrol,Second Owner,Banglore,34.95 Lakh*
1285,Tata,Nano,Twist XT,2014,"48,931 kms",Petrol,First Owner,Banglore,1.8 Lakh*
1286,Hyundai,i20,Sportz Plus CVT BSIV,2019,"9,500 kms",Petrol,First Owner,Banglore,8.75 Lakh*
1287,Volkswagen,Beetle,1.4 TSI,2011,"20,000 kms",Petrol,First Owner,Banglore,18.75 Lakh*
1288,Volkswagen,Polo,2015-2019 GT TSI,2017,"29,000 kms",Petrol,First Owner,Banglore,9.25 Lakh*
1289,Honda,Amaze,S i-Vtech,2015,"73,486 kms",Petrol,First Owner,Banglore,5.1 Lakh*
1290,Hyundai,Creta,1.6 CRDi SX Plus,2016,"36,000 kms",Diesel,First Owner,Banglore,12.75 Lakh*
1291,Maruti,Swift,VDI BSIV,2014,"70,000 kms",Diesel,First Owner,Banglore,4.95 Lakh*
1292,Hyundai,Creta,1.6 CRDi SX,2018,"35,000 kms",Diesel,First Owner,Banglore,13.5 Lakh*
1293,Hyundai,Creta,1.6 SX Option,2018,"25,000 kms",Petrol,First Owner,Banglore,13.5 Lakh*
1294,Hyundai,i20,1.4 Asta Option,2019,"15,500 kms",Diesel,First Owner,Banglore,9.75 Lakh*
1295,Mahindra,XUV500,W10 2WD,2018,"31,000 kms",Diesel,First Owner,Banglore,16.5 Lakh*
1296,Toyota,Innova,Crysta 2016-2020 2.8 GX AT BSIV,2017,"27,000 kms",Diesel,Second Owner,Banglore,18.25 Lakh*
1297,Maruti,Alto,LXi,2005,"99,000 kms",Petrol,Second Owner,Banglore,1.65 Lakh*
1298,Maruti,Eeco,5 Seater AC,2016,"8,600 Kms",Petrol,1st Owner,Banglore,"₹ 3,83,000"
1299,Maruti,Swift,VDI,2013,"73,400 Kms",Diesel,2nd Owner,Banglore,"₹ 5,05,500"
1300,Tata,Safari,2005-2017 3L Dicor LX 4x2,2007,"2,30,000 kms",Diesel,Second Owner,Banglore,2 Lakh*
1301,Toyota,Innova,Crysta 2016-2020 2.8 GX AT BSIV,2017,"39,022 kms",Diesel,First Owner,Banglore,18 Lakh*
1302,Maruti,Eeco,5 Seater Standard BSIV,2014,"53,000 kms",Petrol,First Owner,Banglore,3.7 Lakh*
1303,Maruti,Alto,LXi,2008,"80,000 kms",Petrol,Fourth & Above Owner,Banglore,1.4 Lakh*
1304,Honda,Brio,V MT,2014,"21,779 kms",Petrol,First Owner,Banglore,4.5 Lakh*
1305,Maruti,Alto,K10 LXI,2010,"50,000 kms",Petrol,Second Owner,Banglore,2 Lakh*
1306,Maruti,Wagon,R ZXI 1.2,2020,"2,800 kms",Petrol,First Owner,Banglore,5.8 Lakh*
1307,Ford,Figo,Diesel EXI,2012,"70,000 kms",Diesel,First Owner,Banglore,3 Lakh*
1308,Honda,Civic,1.8 V AT Elegance,2010,"90,000 kms",Petrol,Second Owner,Banglore,3 Lakh*
1309,Renault,Captur,1.5 Diesel Platine Mono,2018,"20,549 kms",Diesel,First Owner,Banglore,8.85 Lakh*
1310,Honda,Jazz,1.2 V i VTEC,2015,"50,000 kms",Petrol,Second Owner,Banglore,5.3 Lakh*
1311,Hyundai,Santa,Fe 2WD MT,2014,"72,468 kms",Diesel,First Owner,Banglore,13 Lakh*
1312,Honda,Brio,V MT,2013,"21,547 Kms",Petrol,1st Owner,Banglore,"₹ 3,91,500"
1313,Audi,A4,2.0 TDI Multitronic,2010,"57,000 kms",Diesel,Second Owner,Banglore,11.5 Lakh*
1314,Kia,Sonet,1.5 GTX Plus Diesel,2021,"4,000 kms",Diesel,First Owner,Banglore,14.5 Lakh*
1315,Land,Rover,Freelander 2 TD4 SE,2009,"1,21,500 kms",Diesel,First Owner,Banglore,13 Lakh*
1316,Datsun,GO,T,2016,"44,682 kms",Petrol,First Owner,Banglore,3.75 Lakh*
1317,Porsche,Cayman,S Tiptronic,2011,"9,500 kms",Petrol,First Owner,Banglore,42 Lakh*
1318,Renault,KWID,1.0 RXT AMT BSIV,2018,"24,416 Kms",Petrol,1st Owner,Banglore,"₹ 4,60,500"
1319,BMW,3,Series GT Luxury Line,2018,"40,000 kms",Diesel,First Owner,Banglore,38.75 Lakh*
1320,Maruti,Ertiga,VDI Limited Edition,2015,"48,000 kms",Diesel,First Owner,Banglore,8.4 Lakh*
1321,Renault,KWID,1.0 RXT 02 Anniversary Edition,2018,"25,772 Kms",Petrol,1st Owner,Banglore,"₹ 4,04,500"
1322,Honda,Civic,1.8 S AT,2006,"60,000 kms",Petrol,Third Owner,Banglore,3.35 Lakh*
1323,Renault,KWID,AMT,2018,"20,965 Kms",Petrol,1st Owner,Banglore,"₹ 4,54,500"
1324,Maruti,Vitara,Brezza VDi Option,2018,"43,000 kms",Diesel,First Owner,Banglore,7.6 Lakh*
1325,Maruti,Eeco,7 Seater Standard BSIV,2010,"10,000 kms",Petrol,Second Owner,Banglore,2.42 Lakh*
1326,Maruti,Swift,1.3 VXi,2006,"90,000 kms",Petrol,Second Owner,Banglore,2.55 Lakh*
1327,Volkswagen,Vento,New Diesel Highline,2013,"90,000 kms",Diesel,Third Owner,Banglore,3.5 Lakh*
1328,BMW,5,Series 520d Luxury Line,2018,"6,950 kms",Diesel,First Owner,Banglore,58 Lakh*
1329,Maruti,Alto,K10 VXI,2016,"27,256 kms",Petrol,First Owner,Banglore,3.1 Lakh*
1330,Tata,Indica,eLX,2013,"80,000 kms",Diesel,Fourth & Above Owner,Banglore,"85,000*"
